SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4316 W Ainslie St,Chicago,IL,60630,290000,4,2.0,CHI - Albany Park,,3057,1925,1,,,Active,,,https://www.redfin.com/IL/Chicago/4316-W-Ainslie-St-60630/home/13495537,MRED,11644645,N,Y,41.9702121,-87.7362164
MLS Listing,,Condo/Co-op,1240 N Lake Shore Dr Unit 19B,Chicago,IL,60610,695000,3,3.0,CHI - Near North Side,2000,,1965,1,348,1908,Active,,,https://www.redfin.com/IL/Chicago/1240-N-Lake-Shore-Dr-60610/unit-19B/home/14124724,MRED,11644646,N,Y,41.905113,-87.62552
MLS Listing,,Condo/Co-op,544 N Milwaukee Ave #502,Chicago,IL,60642,399950,2,2.0,Bella Como,1141,,2005,1,351,544,Active,,,https://www.redfin.com/IL/Chicago/544-N-Milwaukee-Ave-60642/unit-502/home/12614453,MRED,11644640,N,Y,41.8919865,-87.6492864
MLS Listing,,Multi-Family (2-4 Unit),2647 S Keeler Ave,Chicago,IL,60623,239000,4,2.0,Little Village,,,1910,1,,,Active,,,https://www.redfin.com/IL/Chicago/2647-S-Keeler-Ave-60623/home/22806931,MRED,11644634,N,Y,41.8427692,-87.7291321
MLS Listing,,Single Family Residential,701 E 92nd Pl,Chicago,IL,60619,227900,4,3.0,CHI - Chatham,1744,3977,1905,1,131,,Active,,,https://www.redfin.com/IL/Chicago/701-E-92nd-Pl-60619/home/13109128,MRED,11644627,N,Y,41.7263834,-87.6068157
MLS Listing,,Single Family Residential,2702 N Troy St,Chicago,IL,60647,1625000,4,3.5,CHI - Logan Square,3200,3149,1903,1,508,,Active,,,https://www.redfin.com/IL/Chicago/2702-N-Troy-St-60647/home/181281209,MRED,11644624,N,Y,41.9304003,-87.7064464
MLS Listing,,Condo/Co-op,2040 N Burling St #3,Chicago,IL,60614,1700000,3,2.5,CHI - Lincoln Park,2750,,2016,1,618,590,Active,,,https://www.redfin.com/IL/Chicago/2040-N-Burling-St-60614/unit-3/home/13349182,MRED,11644620,N,Y,41.9193929,-87.6476177
MLS Listing,,Condo/Co-op,130 S Canal St Unit 10T,Chicago,IL,60606,650000,2,2.5,CHI - Near West Side,2100,,1949,1,310,1355,Active,,,https://www.redfin.com/IL/Chicago/130-S-Canal-St-60606/unit-10T/home/12764814,MRED,11644623,N,Y,41.8796753,-87.6399445
MLS Listing,,Condo/Co-op,1530 S State St #503,Chicago,IL,60605,319000,2,2.0,Dearborn Tower,1205,,2001,1,265,613,Active,,,https://www.redfin.com/IL/Chicago/1530-S-State-St-60605/unit-503/home/12673309,MRED,11644618,N,Y,41.8612054,-87.6284311
MLS Listing,,Condo/Co-op,2116 W Chicago Ave Unit 3W,Chicago,IL,60622,899000,3,3.5,CHI - West Town,,,2017,1,,265,Active,October-8-2022 11:00 AM,October-8-2022 12:30 PM,https://www.redfin.com/IL/Chicago/2116-W-Chicago-Ave-60622/unit-3W/home/113747630,MRED,11644617,N,Y,41.8961006,-87.6801102
MLS Listing,,Single Family Residential,7709 S Wood St,Chicago,IL,60620,259900,5,2.0,CHI - Auburn Gresham,1152,3750,1924,1,226,,Active,,,https://www.redfin.com/IL/Chicago/7709-S-Wood-St-60620/home/13909644,MRED,11644613,N,Y,41.7535645,-87.6680728
MLS Listing,,Condo/Co-op,2933 N Clybourn Ave #201,Chicago,IL,60618,299000,2,2.0,CHI - North Center,1200,,2004,1,249,276,Active,,,https://www.redfin.com/IL/Chicago/2933-N-Clybourn-Ave-60618/unit-201/home/12687983,MRED,11644606,N,Y,41.9351051,-87.6814967
MLS Listing,,Condo/Co-op,1617 S Michigan Ave #7,Chicago,IL,60616,775000,3,3.0,CHI - Near South Side,2600,,1946,1,298,592,Active,,,https://www.redfin.com/IL/Chicago/1617-S-Michigan-Ave-60616/unit-7/home/182117971,MRED,11644602,N,Y,41.8598003,-87.6234795
MLS Listing,,Single Family Residential,11636 S Harvard Ave,Chicago,IL,60628,184900,4,2.0,CHI - West Pullman,1100,3075,1967,1,168,,Active,,,https://www.redfin.com/IL/Chicago/11636-S-Harvard-Ave-60628/home/13062324,MRED,11644599,N,Y,41.6823595,-87.6314981
MLS Listing,,Single Family Residential,2037 W 80th St,Chicago,IL,60620,269900,4,3.0,CHI - Auburn Gresham,1200,3720,1929,1,225,,Active,,,https://www.redfin.com/IL/Chicago/2037-W-80th-St-60620/home/13909036,MRED,11644589,N,Y,41.7481967,-87.6745637
MLS Listing,,Multi-Family (2-4 Unit),4519 S Laflin St,Chicago,IL,60609,85000,3,2.0,CHI - New City,,,,1,,,Active,,,https://www.redfin.com/IL/Chicago/4519-S-Laflin-St-60609/home/13959250,MRED,11644585,N,Y,41.811668,-87.6623322
MLS Listing,,Single Family Residential,10452 S Campbell Ave,Chicago,IL,60655,545000,5,3.0,CHI - Beverly,3100,5000,1928,1,176,,Active,,,https://www.redfin.com/IL/Chicago/10452-S-Campbell-Ave-60655/home/13158418,MRED,11644577,N,Y,41.703007,-87.6842908
MLS Listing,,Condo/Co-op,30 W Oak St Unit 9A,Chicago,IL,60610,3000000,3,4.5,CHI - Near North Side,3350,,2006,1,896,2800,Active,,,https://www.redfin.com/IL/Chicago/30-W-Oak-St-60610/unit-9A/home/18926847,MRED,11644567,N,Y,41.9008046,-87.6294752
MLS Listing,,Single Family Residential,2317 W Ohio St,Chicago,IL,60612,999000,4,3.5,CHI - West Town,3000,2500,1905,1,333,,Active,,,https://www.redfin.com/IL/Chicago/2317-W-Ohio-St-60612/home/14105131,MRED,11644570,N,Y,41.8919544,-87.684982
MLS Listing,,Single Family Residential,5855 N Lacey Ave,Chicago,IL,60646,649900,3,2.5,CHI - Forest Glen,1941,8398,1951,1,335,,Active,,,https://www.redfin.com/IL/Chicago/5855-N-Lacey-Ave-60646/home/13512633,MRED,11644566,N,Y,41.9883627,-87.7542866
MLS Listing,,Condo/Co-op,4819 S Prairie Ave #2,Chicago,IL,60615,217500,3,2.0,CHI - Grand Boulevard,1300,,1905,1,167,315,Active,October-8-2022 11:00 AM,October-8-2022 01:00 PM,https://www.redfin.com/IL/Chicago/4819-S-Prairie-Ave-60615/unit-2/home/21810695,MRED,11644553,N,Y,41.8069992,-87.6191724
MLS Listing,,Multi-Family (2-4 Unit),520 N Central Ave,Chicago,IL,60644,390000,11,5.5,CHI - Austin,,,1890,1,,,Active,,,https://www.redfin.com/IL/Chicago/520-N-Central-Ave-60644/home/13266464,MRED,11644549,N,Y,41.8899507,-87.7654888
MLS Listing,,Condo/Co-op,155 N Harbor Dr #1204,Chicago,IL,60601,400000,1,1.5,Harbor Point,1000,,1974,1,400,811,Active,,,https://www.redfin.com/IL/Chicago/155-N-Harbor-Dr-60601/unit-1204/home/14093568,MRED,11644546,N,Y,41.8848951,-87.6153982
MLS Listing,,Condo/Co-op,1717 S Prairie Ave #2008,Chicago,IL,60616,245000,1,1.0,CHI - Near South Side,791,,2003,1,310,592,Active,,,https://www.redfin.com/IL/Chicago/1717-S-Prairie-Ave-60616/unit-2008/home/12644746,MRED,11644540,N,Y,41.8584253,-87.6198331
MLS Listing,,Single Family Residential,4921 S Prairie Ave,Chicago,IL,60615,399900,5,2.0,CHI - Grand Boulevard,4500,7923,1885,1,89,,Active,,,https://www.redfin.com/IL/Chicago/4921-S-Prairie-Ave-60615/home/179424997,MRED,11644542,N,Y,41.8049975,-87.6190429
MLS Listing,,Single Family Residential,6123 W 64th St,Chicago,IL,60638,359000,3,2.5,CHI - Clearing,1200,,1963,1,299,,Active,,,https://www.redfin.com/IL/Chicago/6123-W-64th-St-60638/home/13996226,MRED,11644535,N,Y,41.7757615,-87.7748151
MLS Listing,,Condo/Co-op,1232 N Bosworth Ave #102,Chicago,IL,60642,770000,3,2.5,CHI - West Town,,,2020,1,,440,Active,October-8-2022 11:00 AM,October-8-2022 01:00 PM,https://www.redfin.com/IL/Chicago/1232-N-Bosworth-Ave-60642/unit-102/home/181490813,MRED,11644526,N,Y,41.904406,-87.666535
MLS Listing,,Single Family Residential,2309 N Geneva Ter,Chicago,IL,60614,3535000,6,6.5,CHI - Lincoln Park,9000,2574,1889,1,393,,Active,,,https://www.redfin.com/IL/Chicago/2309-N-Geneva-Ter-60614/home/13350932,MRED,11644528,N,Y,41.9241175,-87.6436681
MLS Listing,,Condo/Co-op,2626 N Lakeview Ave #1001,Chicago,IL,60614,295000,2,2.0,CHI - Lincoln Park,,,1968,1,,990,Active,,,https://www.redfin.com/IL/Chicago/2626-N-Lakeview-Ave-60614/unit-1001/home/13366496,MRED,11644524,N,Y,41.9303836,-87.639729
MLS Listing,,Single Family Residential,1325 W Birchwood Ave,Chicago,IL,60626,165000,2,1.0,CHI - Rogers Park,1000,,1967,1,165,265,Active,,,https://www.redfin.com/IL/Chicago/1325-W-Birchwood-Ave-60626/home/182116624,MRED,11644518,N,Y,42.0179244,-87.6643643
MLS Listing,,Multi-Family (2-4 Unit),3021 E 138th Pl,Burnham,IL,60633,339000,6,4.0,Burnham,,9583,1904,1,,,Active,,,https://www.redfin.com/IL/Chicago/3021-138th-Pl-60633/home/147924436,MRED,11644510,N,Y,41.6443376,-87.5443178
MLS Listing,,Multi-Family (2-4 Unit),2952 S Bonaparte St,Chicago,IL,60608,450000,4,2.0,CHI - Bridgeport,,,1885,1,,,Active,,,https://www.redfin.com/IL/Chicago/2952-S-Bonaparte-St-60608/home/182116363,MRED,11644508,N,Y,41.8402465,-87.6592883
MLS Listing,,Townhouse,1137 W Monroe St #4,Chicago,IL,60607,1199900,4,4.5,CHI - Near West Side,3139,,2007,1,382,400,Active,,,https://www.redfin.com/IL/Chicago/1137-W-Monroe-St-60607/unit-4/home/12595898,MRED,11644506,N,Y,41.8799818,-87.6563246
MLS Listing,,Townhouse,1655 W Cortez St,Chicago,IL,60622,499900,3,2.0,CHI - West Town,1550,,1997,1,323,80,Active,,,https://www.redfin.com/IL/Chicago/1655-W-Cortez-St-60622/home/12788979,MRED,11644505,N,Y,41.9008791,-87.6695169
MLS Listing,,Condo/Co-op,10 E Schiller St Unit 1E,Chicago,IL,60610,1399500,4,3.0,CHI - Near North Side,3000,,1917,1,467,2528,Active,,,https://www.redfin.com/IL/Chicago/10-E-Schiller-St-60610/unit-1E/home/177938921,MRED,11644502,N,Y,41.9079537,-87.628372
MLS Listing,,Condo/Co-op,233 E 13th St #2107,Chicago,IL,60605,549000,2,2.0,Museum Park,1386,,2005,1,396,699,Active,,,https://www.redfin.com/IL/Chicago/233-E-13th-St-60605/unit-2107/home/12645615,MRED,11644477,N,Y,41.8654277,-87.6208362
